"ncm","excecao","desc","ipi","concat_desc"
"02062910","","Rabos ","0","Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas. - Da espécie bovina, congeladas: -- Outras Rabos"
"02062990","","Outros ","0","Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas. - Da espécie bovina, congeladas: -- Outras Outros"
"02063000","","- Da espécie suína, frescas ou refrigeradas ","0","Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas. - Da espécie suína, frescas ou refrigeradas"
"02064100","","-- Fígados ","0","Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas. - Da espécie suína, congeladas: -- Fígados"
"02064900","","-- Outras ","0","Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas. - Da espécie suína, congeladas: -- Outras"
"02068000","","- Outras, frescas ou refrigeradas ","0","Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas. - Outras, frescas ou refrigeradas"
"02069000","","- Outras, congeladas ","0","Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas. - Outras, congeladas"
"02071100","","-- Não cortadas em pedaços, frescas ou refrigeradas ","0","Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05. - De aves da espécie Gallus domesticus: -- Não cortadas em pedaços, frescas ou refrigeradas"
"02071200","","-- Não cortadas em pedaços, congeladas ","0","Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05. - De aves da espécie Gallus domesticus: -- Não cortadas em pedaços, congeladas"
"02071300","","-- Pedaços e miudezas, frescos ou refrigerados ","0","Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05. - De aves da espécie Gallus domesticus: -- Pedaços e miudezas, frescos ou refrigerados"
