"ncm","excecao","desc","ipi","concat_desc"
"02012010","","Quartos dianteiros ","0","Carnes de animais da espécie bovina, frescas ou refrigeradas. - Outras peças não desossadas Quartos dianteiros"
"02012020","","Quartos traseiros ","0","Carnes de animais da espécie bovina, frescas ou refrigeradas. - Outras peças não desossadas Quartos traseiros"
"02012090","","Outras ","0","Carnes de animais da espécie bovina, frescas ou refrigeradas. - Outras peças não desossadas Outras"
"02013000","","- Desossadas ","0","Carnes de animais da espécie bovina, frescas ou refrigeradas. - Desossadas"
"02021000","","- Carcaças e meias-carcaças ","0","Carnes de animais da espécie bovina, congeladas. - Carcaças e meias-carcaças"
"02022010","","Quartos dianteiros ","0","Carnes de animais da espécie bovina, congeladas. - Outras peças não desossadas Quartos dianteiros"
"02022020","","Quartos traseiros ","0","Carnes de animais da espécie bovina, congeladas. - Outras peças não desossadas Quartos traseiros"
"02022090","","Outras ","0","Carnes de animais da espécie bovina, congeladas. - Outras peças não desossadas Outras"
"02023000","","- Desossadas ","0","Carnes de animais da espécie bovina, congeladas. - Desossadas"
"02031100","","-- Carcaças e meias-carcaças ","0","Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas. - Frescas ou refrigeradas: -- Carcaças e meias-carcaças"
"02031200","","-- Pernas, pás e respectivos pedaços, não desossados ","0","Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas. - Frescas ou refrigeradas: -- Pernas, pás e respectivos pedaços, não desossados"
"02031900","","-- Outras ","0","Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas. - Frescas ou refrigeradas: -- Outras"
"02032100","","-- Carcaças e meias-carcaças ","0","Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas. - Congeladas: -- Carcaças e meias-carcaças"
"02032200","","-- Pernas, pás e respectivos pedaços, não desossados ","0","Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas. - Congeladas: -- Pernas, pás e respectivos pedaços, não desossados"
"02032900","","-- Outras ","0","Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas. - Congeladas: -- Outras"
"02041000","","- Carcaças e meias-carcaças de cordeiro, frescas ou refrigeradas ","0","Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas. - Carcaças e meias-carcaças de cordeiro, frescas ou refrigeradas"
"02042100","","-- Carcaças e meias-carcaças ","0","Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas. - Outras carnes de animais da espécie ovina, frescas ou refrigeradas: -- Carcaças e meias-carcaças"
"02042200","","-- Outras peças não desossadas ","0","Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas. - Outras carnes de animais da espécie ovina, frescas ou refrigeradas: -- Outras peças não desossadas"
